Product_ID,Category,Sub_Category,Product_Name,Sales_Value,Quantity,Discount,Profit,Order_Code,Customer_ID
OFF-PA-10002986,Office Supplies,Paper,Xerox 1898,13.00,2.00,0.00%,6.41,101266,MM-17920
OFF-AP-10000804,Office Supplies,Appliances,Hoover Portapower Portable Vacuum,14.00,4.00,20.00%,0.90,101273,ST-20530
TEC-PH-10003800,Technology,Phones,i.Sound Portable Power - 8000 mAh,85.00,2.00,20.00%,-20.14,101308,FG-14260
FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,341.00,6.00,20.00%,-34.07,101322,JG-15310
OFF-AR-10000614,Office Supplies,Art,Barrel Sharpener,32.00,9.00,0.00%,8.35,101329,MM-17920
OFF-AR-10003582,Office Supplies,Art,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",141.00,5.00,0.00%,39.41,101336,CK-12760
OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",78.00,2.00,0.00%,3.89,101343,RA-19885
OFF-BI-10003984,Office Supplies,Binders,Lock-Up Easel 'Spel-Binder',297.00,13.00,20.00%,100.14,101364,TW-21025
TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,29.00,2.00,0.00%,7.25,101378,RH-19600
OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,17.00,4.00,0.00%,6.96,101385,JW-16075
OFF-ST-10000532,Office Supplies,Storage,Advantus Rolling Drawer Organizers,269.00,7.00,0.00%,70.03,101392,AS-10630
FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,255.00,7.00,60.00%,-312.06,101399,JS-15940
OFF-AR-10002257,Office Supplies,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",8.00,3.00,20.00%,1.10,101427,AY-10555
TEC-AC-10002402,Technology,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,240.00,3.00,0.00%,71.99,101434,TR-21325
OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,57.00,3.00,0.00%,28.41,101448,EB-13930
FUR-FU-10000409,Furniture,Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",60.00,4.00,0.00%,27.56,101462,BP-11230
OFF-AR-10003986,Office Supplies,Art,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,8.00,2.00,0.00%,3.16,101469,KH-16360
TEC-MA-10000029,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",70.00,1.00,0.00%,30.10,101476,SD-20485
OFF-AP-10002082,Office Supplies,Appliances,Holmes HEPA Air Purifier,35.00,2.00,20.00%,6.53,101483,AG-10675
OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,19.00,1.00,0.00%,9.11,101497,PS-18760
FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",397.00,7.00,30.00%,-11.34,101511,JE-15745
TEC-AC-10001553,Technology,Accessories,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",41.00,3.00,20.00%,0.51,101518,PB-19105
OFF-PA-10001497,Office Supplies,Paper,Xerox 1914,110.00,2.00,0.00%,53.86,101525,CM-12235
TEC-PH-10004165,Technology,Phones,Mitel MiVoice 5330e IP Phone,660.00,3.00,20.00%,49.50,101539,VM-21685
OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1794.00,2.00,0.00%,843.17,101546,GK-14620
FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,398.00,5.00,0.00%,43.74,101560,CS-12250
FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,9.00,3.00,0.00%,4.44,101574,BD-11725
FUR-TA-10002607,Furniture,Tables,KI Conference Tables,177.00,5.00,50.00%,-120.51,101581,DW-13195
FUR-CH-10004675,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",763.00,5.00,30.00%,-21.81,101602,MC-18100
OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,87.00,8.00,0.00%,41.02,101616,CY-12745
OFF-FA-10003495,Office Supplies,Fasteners,Staples,37.00,6.00,0.00%,18.24,101623,RR-19525
OFF-SU-10001664,Office Supplies,Supplies,Acme Office Executive Series Stainless Steel Trimmers,26.00,3.00,0.00%,6.68,101630,CK-12760
OFF-ST-10002352,Office Supplies,Storage,Iris Project Case,13.00,2.00,20.00%,0.96,101637,AC-10615
FUR-FU-10000771,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Smoke",44.00,7.00,0.00%,18.46,101651,SC-20305
OFF-AR-10002335,Office Supplies,Art,DIXON Oriole Pencils,5.00,2.00,0.00%,1.34,101665,TZ-21580
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,915.00,4.00,20.00%,102.95,101672,DB-12910
FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",85.00,2.00,30.00%,-6.09,101693,LC-17140
OFF-EN-10003134,Office Supplies,Envelopes,Staple envelope,19.00,2.00,20.00%,7.01,101700,SO-20335
OFF-PA-10002968,Office Supplies,Paper,Xerox 1973,114.00,5.00,0.00%,52.53,101707,PF-19165
OFF-PA-10003641,Office Supplies,Paper,Xerox 1909,63.00,3.00,20.00%,20.58,101721,MY-17380
OFF-BI-10002393,Office Supplies,Binders,Binder Posts,2.00,2.00,80.00%,-3.90,101728,SC-20575
OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,11.00,7.00,20.00%,3.68,101742,CR-12580
FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",171.00,3.00,20.00%,-6.42,101749,AS-10045
OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,2.00,1.00,70.00%,-1.31,101770,KB-16240
FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",122.00,3.00,20.00%,-13.74,101784,PO-18850
OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,1297.00,9.00,20.00%,97.30,101791,BS-11665
TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,40.00,2.00,0.00%,13.59,101798,MV-18190
OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",541.00,4.00,0.00%,5.41,101805,SH-19975
OFF-PA-10003591,Office Supplies,Paper,Southworth 100% Cotton The Best Paper,34.00,3.00,0.00%,17.22,101833,FG-14260
TEC-PH-10002538,Technology,Phones,Grandstream GXP1160 VoIP phone,228.00,6.00,0.00%,65.96,101840,SP-20545
TEC-AC-10004396,Technology,Accessories,Logitech Keyboard K120,73.00,5.00,20.00%,-8.17,101868,MJ-17740
FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",1549.00,9.00,40.00%,-464.70,101889,DB-13120
FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",284.00,5.00,20.00%,17.75,101910,CD-11920
OFF-BI-10000962,Office Supplies,Binders,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",10.00,2.00,70.00%,-6.83,101924,KB-16585
FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,617.00,6.00,15.00%,-36.29,101931,TS-21370
OFF-AR-10003696,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,35.00,1.00,0.00%,10.03,101938,DW-13480
OFF-FA-10004248,Office Supplies,Fasteners,Advantus T-Pin Paper Clips,11.00,3.00,20.00%,2.57,101945,GT-14710
OFF-BI-10001757,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,10.00,2.00,0.00%,4.72,101959,DB-13660
TEC-PH-10003437,Technology,Phones,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,420.00,7.00,20.00%,52.49,101966,BM-11785
OFF-BI-10004318,Office Supplies,Binders,Ibico EB-19 Dual Function Manual Binding System,277.00,2.00,20.00%,89.95,101980,RP-19390
TEC-PH-10001305,Technology,Phones,Panasonic KX TS208W Corded phone,441.00,9.00,0.00%,123.45,101987,HL-15040
OFF-PA-10004092,Office Supplies,Paper,Tops Green Bar Computer Printout Paper,49.00,1.00,0.00%,24.47,102008,RA-19915
OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",106.00,2.00,0.00%,4.24,102016,TM-21010
OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,200.00,6.00,0.00%,47.94,102036,CS-12130
TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,168.00,3.00,0.00%,40.31,102071,PG-18820
OFF-LA-10002475,Office Supplies,Labels,Avery 519,29.00,4.00,0.00%,13.74,102085,JD-16015
FUR-TA-10002530,Furniture,Tables,"Iceberg OfficeWorks 42"" Round Tables",1057.00,7.00,0.00%,158.53,102092,PM-18940
OFF-PA-10000289,Office Supplies,Paper,Xerox 213,32.00,5.00,0.00%,15.55,102099,EP-13915
TEC-AC-10000397,Technology,Accessories,"Perixx PERIBOARD-512B, Ergonomic Split Keyboard",140.00,4.00,0.00%,9.80,102127,VP-21760
FUR-FU-10003724,Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,17.00,2.00,0.00%,4.35,102134,SP-20545
OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,147.00,8.00,20.00%,45.84,102141,KD-16615
OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,360.00,2.00,0.00%,93.70,102155,RR-19525
TEC-CO-10001943,Technology,Copiers,Canon PC-428 Personal Copier,1600.00,8.00,0.00%,751.96,102162,JF-15565
OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,4306.00,6.00,20.00%,1453.12,102183,PK-19075
OFF-PA-10001970,Office Supplies,Paper,Xerox 1908,280.00,5.00,0.00%,137.15,102197,DK-13150
FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2804.00,5.00,20.00%,0.00,102204,CJ-12010
OFF-LA-10002475,Office Supplies,Labels,Avery 519,12.00,2.00,20.00%,3.95,102218,LW-17215
OFF-AR-10000538,Office Supplies,Art,"Boston Model 1800 Electric Pencil Sharpener, Gray",197.00,7.00,0.00%,59.12,102232,MF-17665
FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables,1686.00,6.00,0.00%,320.32,102239,LW-16990
OFF-ST-10003716,Office Supplies,Storage,Tennsco Double-Tier Lockers,720.00,4.00,20.00%,-63.01,102260,SJ-20125
OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,2.00,2.00,20.00%,0.83,102267,SC-20800
OFF-PA-10004359,Office Supplies,Paper,Multicolor Computer Printout Paper,629.00,6.00,0.00%,301.97,102274,DH-13075
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.00,4.00,20.00%,112.39,102281,MP-17470
OFF-PA-10000740,Office Supplies,Paper,Xerox 1982,146.00,8.00,20.00%,47.51,102288,ZC-21910
FUR-CH-10001714,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",121.00,1.00,20.00%,-18.11,102295,EH-13990
TEC-AC-10001114,Technology,Accessories,Microsoft Wireless Mobile Mouse 4000,200.00,5.00,0.00%,63.98,102309,DO-13645
FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,185.00,3.00,20.00%,-20.78,102316,DH-13075
TEC-PH-10001051,Technology,Phones,HTC One,320.00,4.00,20.00%,36.00,102330,AI-10855
FUR-CH-10004289,Furniture,Chairs,Global Super Steno Chair,470.00,7.00,30.00%,-87.34,102337,SD-20485
FUR-CH-10004983,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,1159.00,9.00,20.00%,43.46,102379,BB-11545
FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,896.00,9.00,20.00%,22.41,102407,AT-10435
TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",30.00,1.00,20.00%,2.59,102414,JA-15970
OFF-AP-10004336,Office Supplies,Appliances,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",171.00,3.00,0.00%,49.56,102456,DL-12865
TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,3080.00,7.00,0.00%,1416.80,102491,KW-16435
OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,73.00,5.00,0.00%,21.23,102498,JG-15160
TEC-AC-10001772,Technology,Accessories,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,144.00,9.00,0.00%,56.05,102519,BM-11650
