Order_ID,Order_Date,Ship_Date,Ship_Mode,Year_Order,Customer_ID
168095,7/15/2021,7/20/2021,Standard Class,2021,MC-17425
168088,3/19/2020,3/22/2020,First Class,2020,CM-12655
168081,4/24/2021,4/27/2021,Second Class,2021,CA-12055
168046,1/25/2021,1/28/2021,Second Class,2021,JD-15895
168032,1/30/2021,2/3/2021,Standard Class,2021,DF-13135
168004,10/4/2020,10/9/2020,Second Class,2020,DJ-13420
167997,1/26/2019,1/29/2019,First Class,2019,CA-11965
167983,8/21/2021,8/24/2021,Second Class,2021,RP-19270
167927,1/20/2019,1/26/2019,Standard Class,2019,XP-21865
167899,5/21/2022,5/26/2022,Standard Class,2022,JG-15805
167850,8/9/2019,8/16/2019,Standard Class,2019,AG-10525
167759,3/3/2021,3/8/2021,Second Class,2021,CC-12670
167752,1/15/2022,1/18/2022,First Class,2022,RW-19690
167745,9/18/2020,9/23/2020,Standard Class,2020,GB-14530
167738,12/24/2019,12/29/2019,Standard Class,2019,JC-16105
167724,4/13/2019,4/18/2019,Standard Class,2019,BF-11170
167703,2/3/2022,2/8/2022,Standard Class,2022,MC-17575
167696,9/16/2020,9/21/2020,Standard Class,2020,BD-11500
167682,4/3/2021,4/9/2021,Standard Class,2021,ZD-21925
167668,5/6/2022,5/8/2022,First Class,2022,TC-21295
167640,3/6/2022,3/10/2022,Standard Class,2022,FC-14245
167633,9/30/2019,10/5/2019,Standard Class,2019,BW-11200
167605,4/28/2021,4/30/2021,Second Class,2021,RB-19570
167584,8/12/2021,8/12/2021,Same Day,2021,LC-16870
167556,3/29/2021,4/2/2021,Standard Class,2021,JM-15250
167507,12/22/2021,12/28/2021,Standard Class,2021,SA-20830
167486,11/27/2019,12/1/2019,Standard Class,2019,JO-15145
167479,3/14/2020,3/19/2020,Standard Class,2020,AI-10855
167472,6/6/2021,6/7/2021,First Class,2021,CK-12595
167416,5/12/2021,5/17/2021,Standard Class,2021,JM-15580
167402,1/13/2022,1/18/2022,Second Class,2022,CP-12085
167374,3/26/2020,3/30/2020,Second Class,2020,GM-14500
167360,11/24/2019,11/29/2019,Second Class,2019,RB-19435
167339,1/21/2021,1/23/2021,Second Class,2021,TD-20995
167290,10/30/2021,11/4/2021,Standard Class,2021,JF-15295
167269,6/16/2020,6/20/2020,Standard Class,2020,PB-19150
167262,10/31/2019,11/3/2019,Second Class,2019,AC-10450
167255,9/27/2020,9/29/2020,Second Class,2020,RH-19510
167241,8/15/2021,8/22/2021,Standard Class,2021,BD-11320
167220,12/12/2020,12/16/2020,Standard Class,2020,JB-15925
167199,1/6/2019,1/10/2019,Standard Class,2019,ME-17320
167164,5/13/2019,5/15/2019,Second Class,2019,AG-10270
167115,4/4/2021,4/9/2021,Standard Class,2021,EH-14185
167101,3/24/2022,3/28/2022,Second Class,2022,BM-11650
167080,6/10/2022,6/14/2022,Standard Class,2022,LC-16930
167010,4/5/2020,4/10/2020,Standard Class,2020,VT-21700
167003,5/23/2022,5/29/2022,Standard Class,2022,VS-21820
166989,11/14/2019,11/18/2019,Standard Class,2019,RM-19675
166975,11/26/2020,11/30/2020,Standard Class,2020,SH-20635
166961,12/27/2019,12/31/2019,Standard Class,2019,CD-12790
166954,4/25/2019,4/30/2019,Standard Class,2019,BT-11305
166947,6/5/2020,6/10/2020,Standard Class,2020,EB-13750
166933,4/24/2022,4/28/2022,Standard Class,2022,MG-17890
166912,1/15/2021,1/17/2021,First Class,2021,BE-11335
166891,10/4/2019,10/6/2019,First Class,2019,CC-12220
166884,3/11/2019,3/16/2019,Second Class,2019,CK-12205
166863,6/20/2019,6/24/2019,Standard Class,2019,SC-20020
166849,4/20/2022,4/26/2022,Standard Class,2022,SJ-20125
166828,8/22/2019,8/25/2019,First Class,2019,JF-15415
166800,11/19/2020,11/26/2020,Standard Class,2020,AG-10300
166772,9/20/2021,9/24/2021,Standard Class,2021,HJ-14875
166744,9/20/2019,9/24/2019,Standard Class,2019,DN-13690
166730,12/30/2019,1/1/2020,First Class,2019,DD-13570
166716,8/20/2019,8/25/2019,Second Class,2019,CR-12730
166695,5/20/2022,5/24/2022,Standard Class,2022,CC-12430
166688,5/20/2022,5/26/2022,Standard Class,2022,RD-19480
166674,4/1/2021,4/3/2021,Second Class,2021,RB-19360
166660,1/30/2021,2/1/2021,Second Class,2021,TB-21250
166653,9/22/2021,9/24/2021,Second Class,2021,NP-18685
166625,4/14/2021,4/17/2021,First Class,2021,JM-15580
166618,11/14/2021,11/18/2021,Standard Class,2021,DP-13000
166611,3/28/2022,4/2/2022,Standard Class,2022,CK-12760
166604,5/15/2020,5/20/2020,Second Class,2020,AH-10690
166590,10/29/2019,11/2/2019,Standard Class,2019,NC-18625
166583,6/26/2020,6/30/2020,Standard Class,2020,VD-21670
166576,5/16/2022,5/18/2022,First Class,2022,JM-15865
166555,7/11/2019,7/14/2019,First Class,2019,JK-15205
166520,7/16/2020,7/19/2020,First Class,2020,KE-16420
166499,3/19/2022,3/20/2022,First Class,2022,VG-21805
166492,4/7/2020,4/10/2020,First Class,2020,RP-19390
166485,2/20/2021,2/27/2021,Standard Class,2021,AH-10210
166471,8/9/2019,8/13/2019,Standard Class,2019,MG-17650
166464,9/12/2020,9/17/2020,Standard Class,2020,PG-18895
166457,5/5/2019,5/9/2019,Second Class,2019,PF-19120
166443,11/4/2021,11/5/2021,First Class,2021,LH-17020
166429,9/2/2021,9/8/2021,Standard Class,2021,TG-21310
166415,2/19/2022,2/23/2022,Standard Class,2022,ME-17725
166380,5/30/2021,6/3/2021,Standard Class,2021,EB-13750
166373,10/21/2021,10/25/2021,Standard Class,2021,JF-15565
166338,12/6/2020,12/7/2020,First Class,2020,MP-18175
166324,4/20/2022,4/21/2022,First Class,2022,BE-11455
166310,9/21/2019,9/23/2019,First Class,2019,JS-15940
166296,3/13/2022,3/19/2022,Standard Class,2022,KF-16285
166282,4/16/2021,4/22/2021,Standard Class,2021,PK-19075
166275,10/24/2021,10/24/2021,Same Day,2021,SS-20590
166240,6/24/2021,6/28/2021,Standard Class,2021,DH-13075
166226,11/18/2021,11/22/2021,Standard Class,2021,TC-21535
166219,8/28/2020,9/1/2020,Standard Class,2020,BP-11185
166198,4/21/2022,4/24/2022,First Class,2022,JW-15955
166191,12/5/2019,12/9/2019,Second Class,2019,DK-13150
166184,3/24/2022,3/27/2022,First Class,2022,HR-14830
166163,8/15/2021,8/20/2021,Second Class,2021,CY-12745
166135,10/1/2020,10/6/2020,Standard Class,2020,SC-20440
166128,4/11/2022,4/18/2022,Standard Class,2022,LW-17215
166086,5/7/2019,5/12/2019,Standard Class,2019,CT-11995
166051,5/31/2019,6/5/2019,Standard Class,2019,JK-15625
166037,1/28/2022,2/1/2022,Standard Class,2022,CL-12700
165995,8/30/2021,9/6/2021,Standard Class,2021,BG-11740
165974,6/29/2019,7/6/2019,Standard Class,2019,DL-12865
165953,12/31/2021,1/6/2022,Standard Class,2021,EP-13915
165918,9/10/2021,9/14/2021,Standard Class,2021,BD-11770
165904,4/7/2022,4/11/2022,Standard Class,2022,HR-14770
165862,7/13/2019,7/17/2019,Standard Class,2019,GK-14620
165848,6/4/2021,6/4/2021,Same Day,2021,EN-13780
165827,11/4/2021,11/9/2021,Standard Class,2021,MF-17665
165820,9/26/2021,9/30/2021,Standard Class,2021,DW-13585
165813,3/20/2020,3/22/2020,Second Class,2020,BM-11785
165806,4/7/2019,4/7/2019,Same Day,2019,VM-21685
165799,6/29/2020,7/2/2020,First Class,2020,SG-20470
165764,11/3/2019,11/7/2019,Standard Class,2019,SH-20395
165757,6/22/2022,6/28/2022,Standard Class,2022,PL-18925
165743,11/20/2020,11/23/2020,Second Class,2020,MM-18055
165673,5/15/2021,5/19/2021,Second Class,2021,MN-17935
165659,6/1/2019,6/6/2019,Standard Class,2019,LT-17110
165624,8/23/2020,8/28/2020,Standard Class,2020,FH-14350
165589,2/18/2019,2/18/2019,Same Day,2019,TB-21595
165568,2/15/2019,2/19/2019,Standard Class,2019,BF-11020
165561,11/24/2021,11/28/2021,Standard Class,2021,CR-12580
165554,5/18/2020,5/22/2020,Standard Class,2020,AJ-10780
165540,2/21/2019,2/25/2019,Standard Class,2019,TM-21010
165512,5/24/2020,5/26/2020,Second Class,2020,VS-21820
165505,1/23/2021,1/27/2021,Standard Class,2021,CB-12535
165491,3/20/2022,3/24/2022,Standard Class,2022,HW-14935
165484,10/23/2021,10/29/2021,Standard Class,2021,HK-14890
165477,12/29/2019,12/31/2019,Second Class,2019,RE-19405
165470,11/25/2021,11/30/2021,Standard Class,2021,HJ-14875
165449,11/22/2020,11/26/2020,Standard Class,2020,AP-10720
165428,9/1/2019,9/4/2019,First Class,2019,JL-15130
165414,12/21/2020,12/24/2020,First Class,2020,LS-17245
165393,12/27/2019,12/30/2019,First Class,2019,NC-18415
165379,7/9/2019,7/15/2019,Standard Class,2019,BM-11650
165330,12/11/2021,12/11/2021,Same Day,2021,WB-21850
165323,6/17/2022,6/21/2022,Standard Class,2022,SR-20740
165316,7/23/2021,7/27/2021,Standard Class,2021,JB-15400
165309,11/11/2019,11/15/2019,Standard Class,2019,KD-16270
165218,3/5/2021,3/11/2021,Standard Class,2021,RW-19630
165169,6/5/2021,6/11/2021,Standard Class,2021,JL-15235
165162,5/14/2020,5/21/2020,Standard Class,2020,HG-15025
165148,10/22/2021,10/24/2021,First Class,2021,PM-19135
165085,12/27/2020,12/31/2020,Standard Class,2020,BT-11485
165078,11/5/2021,11/10/2021,Standard Class,2021,MA-17995
165057,9/11/2020,9/15/2020,Standard Class,2020,SC-20725
165050,12/7/2020,12/9/2020,First Class,2020,AH-10210
165015,2/25/2021,2/27/2021,Second Class,2021,BD-11725
164973,11/4/2019,11/9/2019,Standard Class,2019,NM-18445
164966,7/30/2020,8/1/2020,First Class,2020,GH-14410
164945,11/22/2021,11/27/2021,Standard Class,2021,CA-12055
164938,2/11/2021,2/13/2021,First Class,2021,PB-19210
164924,7/10/2021,7/10/2021,Same Day,2021,EA-14035
164910,11/12/2019,11/17/2019,Second Class,2019,DM-13345
164903,2/20/2019,2/24/2019,Standard Class,2019,SR-20740
164896,11/7/2021,11/12/2021,Standard Class,2021,PS-19045
164889,6/3/2021,6/6/2021,Second Class,2021,CP-12340
164882,10/31/2020,10/31/2020,Same Day,2020,SG-20080
164861,12/3/2019,12/6/2019,Second Class,2019,MC-17635
164833,6/4/2020,6/4/2020,Same Day,2020,LL-16840
164784,5/1/2021,5/4/2021,First Class,2021,HF-14995
164777,1/27/2020,1/29/2020,First Class,2020,SC-20305
164770,12/2/2021,12/4/2021,Second Class,2021,MY-18295
164763,3/17/2019,3/21/2019,Standard Class,2019,MH-17440
164749,3/23/2019,3/26/2019,First Class,2019,BG-11740
164742,10/13/2019,10/18/2019,Second Class,2019,ML-17395
164735,4/14/2021,4/19/2021,Second Class,2021,TB-21400
164721,11/25/2019,11/27/2019,Second Class,2019,LW-16825
164707,2/18/2022,2/21/2022,Second Class,2022,CV-12805
164672,5/8/2021,5/13/2021,Second Class,2021,GB-14530
164644,7/22/2019,7/24/2019,Second Class,2019,JL-15850
164637,3/4/2021,3/8/2021,Standard Class,2021,RD-19480
164630,1/4/2021,1/9/2021,Standard Class,2021,EB-13975
164623,10/20/2020,10/22/2020,First Class,2020,MS-17770
164616,8/19/2019,8/21/2019,Second Class,2019,MS-17770
164588,4/16/2021,4/23/2021,Standard Class,2021,AP-10915
164574,7/29/2021,8/3/2021,Standard Class,2021,RH-19555
164567,6/15/2020,6/19/2020,Standard Class,2020,GK-14620
164539,11/16/2020,11/22/2020,Standard Class,2020,PO-19180
164511,11/19/2021,11/24/2021,Standard Class,2021,DJ-13630
164497,11/28/2020,11/30/2020,First Class,2020,AJ-10945
164490,9/5/2021,9/10/2021,Second Class,2021,SU-20665
164483,1/30/2021,2/3/2021,Standard Class,2021,JF-15490
164469,6/25/2019,6/27/2019,Second Class,2019,GK-14620
164448,10/31/2020,11/4/2020,Second Class,2020,DK-12835
164441,11/8/2020,11/13/2020,Standard Class,2020,AC-10450
164427,7/31/2020,8/6/2020,Standard Class,2020,AR-10405
164406,8/15/2019,8/19/2019,Standard Class,2019,BD-11605
164399,11/12/2021,11/15/2021,First Class,2021,DW-13480
164385,9/26/2019,10/1/2019,Second Class,2019,NB-18580
164357,11/25/2020,11/29/2020,Standard Class,2020,SF-20065
164350,9/10/2021,9/12/2021,Second Class,2021,CG-12040
164336,7/5/2020,7/10/2020,Standard Class,2020,MW-18220
164329,1/30/2022,1/30/2022,Same Day,2022,MM-17920
164315,4/2/2019,4/8/2019,Standard Class,2019,RD-19585
164308,9/24/2020,9/27/2020,First Class,2020,SC-20680
164301,3/26/2020,3/30/2020,Standard Class,2020,EB-13840
164259,12/28/2019,12/30/2019,First Class,2019,SP-20860
164238,8/16/2020,8/20/2020,Standard Class,2020,JW-15955
164224,5/18/2019,5/20/2019,Second Class,2019,TT-21070
164210,11/18/2019,11/20/2019,Second Class,2019,PW-19240
164196,11/11/2021,11/17/2021,Standard Class,2021,AS-10285
164189,3/24/2021,3/28/2021,Standard Class,2021,DR-12880
164182,7/14/2019,7/18/2019,Standard Class,2019,ST-20530
164175,4/30/2020,5/5/2020,Standard Class,2020,PS-18970
164154,9/11/2021,9/17/2021,Standard Class,2021,NZ-18565
164147,2/2/2022,2/5/2022,First Class,2022,DW-13585
164112,6/30/2022,7/4/2022,Standard Class,2022,ND-18460
164098,1/26/2022,1/27/2022,First Class,2022,CG-12520
164091,9/17/2021,9/22/2021,Standard Class,2021,LA-16780
164084,9/7/2020,9/12/2020,Standard Class,2020,AG-10525
164056,4/29/2022,5/4/2022,Second Class,2022,FM-14215
164042,5/23/2022,5/27/2022,Standard Class,2022,KL-16645
164035,6/12/2021,6/17/2021,Standard Class,2021,CR-12730
164007,6/8/2020,6/12/2020,Standard Class,2020,MG-17695
163986,9/3/2021,9/10/2021,Standard Class,2021,JJ-15445
163972,10/17/2021,10/21/2021,Standard Class,2021,MG-17890
163965,11/20/2020,11/27/2020,Standard Class,2020,SS-20875
163951,12/30/2021,1/2/2022,First Class,2021,CJ-11875
163937,1/10/2021,1/13/2021,Second Class,2021,JB-16000
163923,5/30/2020,6/3/2020,Standard Class,2020,BD-11560
163902,3/2/2022,3/8/2022,Standard Class,2022,MY-17380
163895,8/7/2020,8/11/2020,Standard Class,2020,NS-18640
163881,11/24/2021,11/30/2021,Standard Class,2021,SP-20860
163867,6/3/2019,6/6/2019,First Class,2019,RE-19450
163825,6/16/2020,6/19/2020,First Class,2020,LC-16885
163804,12/2/2021,12/8/2021,Standard Class,2021,DB-13270
163797,4/8/2019,4/13/2019,Standard Class,2019,PC-19000
163783,12/27/2020,1/1/2021,Standard Class,2020,DR-12940
163776,7/19/2021,7/25/2021,Standard Class,2021,JS-16030
163762,11/27/2020,12/1/2020,Standard Class,2020,JE-15475
163755,11/4/2021,11/8/2021,Second Class,2021,AS-10285
163748,10/14/2019,10/18/2019,Standard Class,2019,HG-15025
163734,6/19/2020,6/24/2020,Standard Class,2020,KM-16375
163685,6/1/2020,6/5/2020,Standard Class,2020,KE-16420
163650,9/23/2019,9/25/2019,First Class,2019,TT-21220
163636,12/5/2021,12/9/2021,Second Class,2021,MP-18175
163594,4/12/2021,4/14/2021,First Class,2021,JF-15295
163587,3/14/2020,3/18/2020,Standard Class,2020,EP-13915
163573,11/24/2021,11/27/2021,First Class,2021,AC-10450
163559,9/23/2019,9/28/2019,Second Class,2019,ST-20530
163552,7/11/2019,7/15/2019,Standard Class,2019,LA-16780
163538,8/26/2021,8/30/2021,Standard Class,2021,SS-20515
163531,6/26/2022,6/30/2022,Standard Class,2022,SC-20725
163468,11/18/2019,11/21/2019,First Class,2019,JK-15730
163461,6/18/2021,6/21/2021,First Class,2021,BT-11440
163447,12/27/2019,12/31/2019,Standard Class,2019,TB-21190
163440,3/22/2020,3/24/2020,First Class,2020,RD-19900
163433,4/18/2020,4/22/2020,Second Class,2020,MP-17965
163419,11/11/2019,11/14/2019,Second Class,2019,TZ-21580
163412,12/20/2019,12/23/2019,Second Class,2019,SM-20950
163398,5/3/2021,5/8/2021,Standard Class,2021,CB-12415
163384,11/10/2021,11/12/2021,First Class,2021,CC-12430
163328,11/4/2021,11/6/2021,Second Class,2021,TP-21565
163293,9/8/2019,9/11/2019,First Class,2019,KC-16255
163279,3/22/2020,3/26/2020,Standard Class,2020,JD-16150
163265,2/16/2022,2/21/2022,Standard Class,2022,JS-16030
163258,12/29/2021,1/2/2022,Standard Class,2021,PF-19225
163237,8/7/2020,8/9/2020,Second Class,2020,EM-14095
163223,3/21/2019,3/25/2019,Standard Class,2019,KH-16690
163216,10/7/2021,10/10/2021,First Class,2021,AW-10930
163209,5/3/2022,5/7/2022,Standard Class,2022,MK-18160
163202,9/27/2021,10/2/2021,Standard Class,2021,BM-11650
163195,2/17/2022,2/21/2022,Second Class,2022,LL-16840
163181,11/7/2020,11/12/2020,Standard Class,2020,AB-10105
163174,8/26/2021,8/30/2021,Standard Class,2021,XP-21865
163167,11/28/2021,12/1/2021,Second Class,2021,RF-19345
163153,3/21/2021,3/25/2021,Standard Class,2021,DM-12955
163146,5/16/2019,5/20/2019,Standard Class,2019,CC-12475
163104,3/19/2020,3/26/2020,Standard Class,2020,MC-18130
163090,11/17/2020,11/21/2020,Second Class,2020,GH-14665
163055,8/9/2020,8/16/2020,Standard Class,2020,DS-13180
163048,2/8/2021,2/15/2021,Standard Class,2021,MH-17440
163034,11/24/2019,11/28/2019,Standard Class,2019,DK-12985
163013,11/28/2019,12/4/2019,Standard Class,2019,BF-11080
163006,6/30/2022,7/4/2022,Second Class,2022,GH-14410
162992,12/19/2019,12/21/2019,First Class,2019,BP-11095
162978,5/4/2022,5/9/2022,Standard Class,2022,LW-16990
162964,11/12/2020,11/18/2020,Standard Class,2020,MF-18250
162950,6/28/2020,7/3/2020,Second Class,2020,DW-13585
162943,7/24/2021,7/26/2021,Second Class,2021,DB-12970
162901,3/28/2021,3/31/2021,First Class,2021,AS-10045
162887,11/7/2020,11/9/2020,Second Class,2020,SV-20785
162866,12/27/2019,12/31/2019,Standard Class,2019,Co-12640
162859,2/15/2021,2/22/2021,Standard Class,2021,PG-18820
162852,12/27/2021,12/31/2021,Standard Class,2021,BG-11695
162782,2/21/2020,2/27/2020,Standard Class,2020,PW-19240
162775,1/13/2019,1/15/2019,Second Class,2019,CS-12250
162761,10/9/2020,10/13/2020,Standard Class,2020,SC-20575
162747,3/20/2021,3/25/2021,Second Class,2021,AH-10030
162733,5/11/2021,5/12/2021,First Class,2021,TT-21070
162726,12/27/2021,1/2/2022,Standard Class,2021,MT-17815
162712,6/18/2022,6/20/2022,Second Class,2022,NK-18490
162684,8/1/2019,8/6/2019,Standard Class,2019,AS-10630
162677,3/26/2021,3/27/2021,First Class,2021,DB-13210
162621,9/5/2020,9/11/2020,Standard Class,2020,CA-12055
162614,10/7/2021,10/13/2021,Standard Class,2021,TB-21250
162607,5/12/2020,5/18/2020,Standard Class,2020,RO-19780
162544,12/16/2020,12/19/2020,First Class,2020,SG-20080
162537,10/28/2020,11/3/2020,Standard Class,2020,RD-19585
162474,3/13/2022,3/16/2022,First Class,2022,FH-14275
162404,7/23/2021,7/27/2021,Standard Class,2021,NF-18475
162390,12/6/2021,12/12/2021,Standard Class,2021,DP-13105
162383,9/5/2021,9/11/2021,Standard Class,2021,MD-17350
162376,11/22/2020,11/25/2020,Second Class,2020,HD-14785
162369,8/15/2020,8/19/2020,Standard Class,2020,TT-21265
162362,11/14/2019,11/18/2019,Standard Class,2019,JL-15505
162355,6/30/2021,7/2/2021,Second Class,2021,PF-19165
162348,11/10/2021,11/15/2021,Standard Class,2021,BF-11170
162313,11/27/2021,11/30/2021,First Class,2021,VB-21745
162278,10/26/2019,10/30/2019,Second Class,2019,AH-10585
162236,11/4/2021,11/6/2021,Second Class,2021,ER-13855
162222,4/3/2021,4/3/2021,Same Day,2021,SR-20740
162201,6/8/2020,6/12/2020,Standard Class,2020,AG-10495
162187,12/11/2021,12/11/2021,Same Day,2021,NS-18640
162166,9/8/2020,9/11/2020,First Class,2020,NM-18520
162159,9/16/2021,9/18/2021,First Class,2021,CR-12625
162138,4/23/2021,4/27/2021,Standard Class,2021,GK-14620
162124,5/6/2022,5/10/2022,Standard Class,2022,JF-15490
162110,7/18/2021,7/22/2021,Standard Class,2021,NP-18670
162103,11/13/2021,11/17/2021,Standard Class,2021,LB-16795
162089,3/30/2019,4/1/2019,First Class,2019,MP-17470
162082,3/14/2021,3/17/2021,First Class,2021,JS-15880
162075,3/18/2022,3/24/2022,Standard Class,2022,TT-21220
162047,11/3/2020,11/5/2020,First Class,2020,FH-14365
162033,3/26/2022,4/2/2022,Standard Class,2022,EM-14200
162026,10/8/2021,10/8/2021,Same Day,2021,JE-15745
161998,5/1/2020,5/5/2020,Standard Class,2020,DB-13120
161991,9/26/2020,9/28/2020,Second Class,2020,SC-20725
161984,4/10/2022,4/15/2022,Standard Class,2022,SJ-20125
161928,6/27/2021,6/29/2021,Second Class,2021,AC-10660
161907,4/5/2021,4/9/2021,Standard Class,2021,JH-16180
161893,1/23/2022,1/27/2022,Standard Class,2022,HP-14815
161851,4/15/2022,4/17/2022,First Class,2022,BP-11095
161844,12/9/2021,12/14/2021,Second Class,2021,DK-12835
161830,9/24/2020,9/26/2020,Second Class,2020,ME-17725
161816,4/28/2021,5/1/2021,First Class,2021,NB-18655
161809,1/20/2022,1/26/2022,Standard Class,2022,TH-21100
